ARAUCA,RS,PR,,,,,,
ARMENIA,PR,,,,,,,
BUCARAMANGA,TS,,PR,NUB,,,,
CALI,PR,,,,,,,
CÚCUTA,PR,,,,,,,
FLORENCIA,TS,,DV,VV,PR,NUB,,
IBAGUÉ,TS,,RS,HR,DV,VV,PR,NUB
INÍRIDA,TS,,PR,NUB,,,,
MANIZALES,TS,,PR,NUB,,,,
MEDELLÍN,PR,NUB,,,,,,
MITU,TS,,RS,HR,DV,VV,PR,NUB
MOCOA,TS,,PR,NUB,,,,
MONTERÍA,PR,NUB,,,,,,
NEIVA,PR,NUB,,,,,,
PASTO,TS,,PR,NUB,,,,
PEREIRA,PR,,,,,,,
POPAYÁN,TS,,PR,NUB,,,,
PUERTO CARREÑO,TS,,RS,HR,DV,VV,PR,NUB
QUIBDÓ,TS,,HR,NUB,,,,
SAN JOSÉ DEL GUAVIARE,TS,,PR,NUB,,,,
SANTA MARTA,PR,NUB,,,,,,
SINCELEJO,TS,,PR,NUB,,,,
TUNJA,TS,,RS,HR,DV,VV,PR,NUB
VALLEDUPAR,PR,NUB,,,,,,
VILLAVICENCIO,PR,NUB,,,,,,
YOPAL,TS,,DV,VV,PR,NUB,,